 1000 3
 -4.8976 22.4034 0.5
 -4.8726 22.4034 0.5
 -4.8476 22.4034 0.5
 -4.8226 22.4034 0.5
 -4.7976 22.4034 0.5
 -4.7726 22.4034 0.5
 -4.7476 22.4034 0.5
 -4.7226 22.4034 0.5
 -4.6976 22.4034 0.5
 -4.6726 22.4034 0.5
 -4.6476 22.4034 0.5
 -4.6226 22.4034 0.5
 -4.5976 22.4034 0.5
 -4.5726 22.4034 0.5
 -4.5476 22.4034 0.5
 -4.5226 22.4034 0.5
 -4.4976 22.4034 0.5
 -4.4726 22.4034 0.5
 -4.4476 22.4034 0.5
 -4.4226 22.4034 0.5
 -4.3976 22.4034 0.5
 -4.3726 22.4034 0.5
 -4.3476 22.4034 0.5
 -4.3226 22.4034 0.5
 -4.2976 22.4034 0.5
 -4.2726 22.4034 0.5
 -4.2476 22.4034 0.5
 -4.2226 22.4034 0.5
 -4.1976 22.4034 0.5
 -4.1726 22.4034 0.5
 -4.1476 22.4034 0.5
 -4.1226 22.4034 0.5
 -4.0976 22.4034 0.5
 -4.0726 22.4034 0.5
 -4.0476 22.4034 0.5
 -4.0226 22.4034 0.5
 -3.9976 22.4034 0.5
 -3.9726 22.4034 0.5
 -3.9476 22.4034 0.5
 -3.9226 22.4034 0.5
 -3.8976 22.4034 0.5
 -3.8726 22.4034 0.5
 -3.8476 22.4034 0.5
 -3.8226 22.4034 0.5
 -3.7976 22.4034 0.5
 -3.7726 22.4034 0.5
 -3.7476 22.4034 0.5
 -3.7226 22.4034 0.5
 -3.6976 22.4034 0.5
 -3.6726 22.4034 0.5
 -3.6476 22.4034 0.5
 -3.6226 22.4034 0.5
 -3.5976 22.4034 0.5
 -3.5726 22.4034 0.5
 -3.5476 22.4034 0.5
 -3.5226 22.4034 0.5
 -3.4976 22.4034 0.5
 -3.4726 22.4034 0.5
 -3.4476 22.4034 0.5
 -3.4226 22.4034 0.5
 -3.3976 22.4034 0.5
 -3.3726 22.4034 0.5
 -3.3476 22.4034 0.5
 -3.3226 22.4034 0.5
 -3.2976 22.4034 0.5
 -3.2726 22.4034 0.5
 -3.2476 22.4034 0.5
 -3.2226 22.4034 0.5
 -3.1976 22.4034 0.5
 -3.1726 22.4034 0.5
 -3.1476 22.4034 0.5
 -3.1226 22.4034 0.5
 -3.0976 22.4034 0.5
 -3.0726 22.4034 0.5
 -3.0476 22.4034 0.5
 -3.0226 22.4034 0.5
 -2.9976 22.4034 0.5
 -2.9726 22.4034 0.5
 -2.9476 22.4034 0.5
 -2.9226 22.4034 0.5
 -2.8976 22.4034 0.5
 -2.8726 22.4034 0.5
 -2.8476 22.4034 0.5
 -2.8226 22.4034 0.5
 -2.7976 22.4034 0.5
 -2.7726 22.4034 0.5
 -2.7476 22.4034 0.5
 -2.7226 22.4034 0.5
 -2.6976 22.4034 0.5
 -2.6726 22.4034 0.5
 -2.6476 22.4034 0.5
 -2.6226 22.4034 0.5
 -2.5976 22.4034 0.5
 -2.5726 22.4034 0.5
 -2.5476 22.4034 0.5
 -2.5226 22.4034 0.5
 -2.4976 22.4034 0.5
 -2.4726 22.4034 0.5
 -2.4476 22.4034 0.5
 -2.4226 22.4034 0.5
 -2.3976 22.4034 0.5
 -2.3726 22.4034 0.5
 -2.3476 22.4034 0.5
 -2.3226 22.4034 0.5
 -2.2976 22.4034 0.5
 -2.2726 22.4034 0.5
 -2.2476 22.4034 0.5
 -2.2226 22.4034 0.5
 -2.1976 22.4034 0.5
 -2.1726 22.4034 0.5
 -2.1476 22.4034 0.5
