X,Y,a,b,c,y0,psi_0
152.5181376976,132.0275711593,,,,,
153.5290932589,133.3208325898,,,,,
154.5699986957,134.6196400736,,,,,
155.6398931866,135.9178908069,,,,,
156.737674067,137.2091078585,,,,,
157.8621170221,138.4865278649,,,,,
159.0118838341,139.7431821973,,,,,
160.1855347625,140.9719915555,,,,,
161.381543966,142.1658695336,,,,,
162.5982940854,143.3178101264,,,,,
163.8340999163,144.4210080139,,,,,
165.0872137795,145.4689600164,,,,,
166.3558698466,146.4555949125,,,,,
167.6382848441,147.3753556996,,,,,
168.9326266303,148.2232568782,,,,,
170.2370375637,148.9949778056,,,,,
171.5496834928,149.6869514884,,,,,
172.868771121,150.2964101705,,,,,
174.1925853172,150.8214192289,,,,,
175.5194982624,151.2608752771,,,,,
176.8479936242,151.6144916358,,,,,
178.1766794781,151.8827608072,,,,,
179.5042433137,152.0668955416,,,,,
180.8294371438,152.1687793,,,,,
182.1511289457,152.190913293,,,,,
183.4683886673,152.1363366293,,,,,
184.7804864967,152.0085255155,,,,,
186.0868837672,151.8112958271,,,,,
187.3871733144,151.5487236026,,,,,
188.6811450977,151.2250534006,,,,,
189.9687960366,150.8446114158,,,,,
191.2503186581,150.4117321609,,,,,
192.526087935,149.9306982766,,,,,
193.7966207472,149.4057048465,,,,,
195.0625136119,148.8408511219,,,,,
196.3243782259,148.2401517888,,,,,
197.5828307308,147.6075351271,,,,,
198.838489851,146.9468394364,,,,,
200.0919330352,146.2618339146,,,,,
201.3437073163,145.5562130253,,,,,
202.5944503443,144.8335241405,,,,,
203.8446827404,144.0972820844,,,,,
205.0948530535,143.3509444232,,,,,
206.3453363383,142.5979084923,,,,,
207.5964712848,141.8414819315,,,,,
208.8485398272,141.0848851812,,,,,
210.1017632618,140.3312421061,,,,,
211.356357631,139.5835332539,,,,,
212.6124883612,138.8446088808,,,,,
213.8703032248,138.1171542455,,,,,
215.1299452083,137.4036675474,,,,,
216.3915412791,136.7064522038,,,,,
217.6551956432,136.0276062044,,,,,
218.9209740282,135.3690157598,,,,,
220.1889170965,134.7323333159,,,,,
221.45904839,134.1189602459,,,,,
222.73137488,133.5300348947,,,,,
224.0058894035,132.9664212527,,,,,
225.282573958,132.4286991867,,,,,
226.5614028411,131.9171569632,,,,,
227.8423453586,131.4317863129,,,,,
229.125367884,130.9722801662,,,,,
230.4104343821,130.5380333255,,,,,
231.6974886539,130.1281510717,,,,,
232.986418498,129.7414633777,,,,,
234.2770509092,129.3765296381,,,,,
235.5691807965,129.0316377957,,,,,
236.8625507744,128.7048217803,,,,,
238.1568036943,128.3938873826,,,,,
239.4514835982,128.0964286016,,,,,
240.746130745,127.809829214,,,,,
242.0402793445,127.5312937179,,,,,
243.33341537,127.2578890276,,,,,
244.624973651,126.9865799041,,,,,
245.9143045695,126.7142740353,,,,,
247.2006903066,126.4378601233,,,,,
248.4833404648,126.1542534059,,,,,
249.7613538283,125.8604516468,,,,,
251.033776784,125.553571701,,,,,
252.2995672288,125.2309078104,,,,,
253.5576817018,124.8899581995,,,,,
254.8069560173,124.5285025982,,,,,
256.0461530637,124.1446370331,,,,,
257.2740259879,123.7367948809,,,,,
